,Name,Rating,Job Description,Total Employees,Comapny Type,Age,Location,Positive
29,Flipkart,4.0,Internet , 10k-50k Employees , Public , 17 years old , Bangalore +512 more,"Skill Development / Learning, Company Culture, Job Security"
30,IndusInd Bank,3.7,Banking , 10k-50k Employees , Public , 30 years old , Gurgaon/Gurugram +695 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
31,Ernst & Young,3.6,,,,,,Job Security
32,AU Small Finance Bank,4.4,Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Jaipur +412 more,"Skill Development / Learning, Job Security, Company Culture"
33,DXC Technology,3.8,IT Services & Consulting , 10k-50k Employees , Public , 7 years old , Minato +95 more,Work Life Balance
34,IDFC FIRST Bank,4.0,Banking , 10k-50k Employees , Public , 6 years old , Mumbai +597 more,"Salary & Benefits, Skill Development / Learning, Job Security"
35,Mahindra & Mahindra,4.2,Automobile , 1 Lakh+ Employees , Public , 79 years old , Mumbai +481 more,"Job Security, Skill Development / Learning, Company Culture"
36,LTIMindtree,3.6,IT Services & Consulting , 50k-1 Lakh Employees , Public , 27 years old , Bangalore / Bengaluru +56 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
37,Infosys BPM,3.8,,,,,,"Job Security, Company Culture, Skill Development / Learning"
38,Conneqt Business Solutions,3.7,,,,,,"Promotions / Appraisal, Salary & Benefits"
39,Bajaj Finserv,4.0,Financial Services , 50k-1 Lakh Employees , Public , 17 years old , Pune +915 more,"Salary & Benefits, Skill Development / Learning, Job Security"
40,HDFC Life,4.1,Insurance , 10k-50k Employees , Public , 24 years old , Mumbai +570 more,"Skill Development / Learning, Job Security, Company Culture"
41,PwC,3.5,Management Consulting , 10k-50k Employees , Conglomerate , 144 years old , London +98 more,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
42,Mphasis,3.4,IT Services & Consulting , 10k-50k Employees , Public , 26 years old , Bangalore/Bengaluru +53 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
43,HSBC Group,4.1,Banking , 10k-50k Employees , Forbes Global 2000 , 159 years old , Pune +59 more,"Job Security, Work Life Balance, Company Culture"
44,Maruti Suzuki,4.2,Automobile , 10k-50k Employees , Public , 43 years old , New Delhi +383 more,"Job Security, Salary & Benefits, Skill Development / Learning"
45,Yes Bank,3.9,Banking , 10k-50k Employees , Public , 20 years old , Mumbai +462 more,"Salary & Benefits, Work Life Balance"
46,Startek,3.3,BPO , 10k-50k Employees , Public , 7 years old , Mumbai +71 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
47,Samsung,4.1,Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old , Seoul +508 more,"Salary & Benefits, Job Security, Work Life Balance"
48,Asian Paints,4.1,Chemicals , 5k-10k Employees , Public , 82 years old , Mumbai +455 more,"Salary & Benefits, Skill Development / Learning, Job Security"
49,Hinduja Global Solutions,3.9,IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Bangalore/Bengaluru +105 more,"Job Security, Company Culture, Work Life Balance"
50,Paytm,3.3,FinTech , 10k-50k Employees , Public , 14 years old , Noida +327 more,"Job Security, Promotions / Appraisal, Company Culture"
51,Ericsson,4.2,Telecom , 10k-50k Employees , Forbes Global 2000 , 148 years old , Stockholm +151 more,"Company Culture, Work Life Balance, Job Security"
52,Shriram Finance,4.1,NBFC , 50k-1 Lakh Employees , Public , 45 years old , Mumbai +970 more,"Job Security, Work Life Balance, Skill Development / Learning"
53,Bandhan Bank,3.8,Banking , 50k-1 Lakh Employees , Public , 23 years old , Kolkata +793 more,Job Security
54,Tata Steel,4.1,Iron & Steel , 1 Lakh+ Employees , Public , 117 years old , Mumbai +183 more,"Job Security, Skill Development / Learning, Work Life Balance"
55,EXL Service,3.8,,,,,,Job Security
56,Cipla,4.2,Pharma , 10k-50k Employees , Public , 89 years old , Mumbai +241 more,"Skill Development / Learning, Salary & Benefits, Work Life Balance"
57,Dr. Reddy's,4.1,Pharma , 10k-50k Employees , Public , 40 years old , Hyderabad/Secunderabad +172 more,"Skill Development / Learning, Company Culture, Work Life Balance"
58,NTT DATA,4.0,,,,,,"Job Security, Work Life Balance, Company Culture"
59,UltraTech Cement,4.2,Building Material , 10k-50k Employees , Public , 41 years old , Mumbai +439 more,"Job Security, Skill Development / Learning, Company Culture"
60,Sutherland Global Services,3.7,,,,,,"Promotions / Appraisal, Salary & Benefits"
61,Quess,4.0,BPO , 1k-5k Employees , Public , 17 years old , Bangalore +553 more,Work Life Balance
62,Bajaj Finance,4.1,,,,,,"Salary & Benefits, Skill Development / Learning, Job Security"
63,ICICI Prudential Life Insurance,4.1,Insurance , 10k-50k Employees , Public , 24 years old , Mumbai +455 more,"Job Security, Skill Development / Learning, Salary & Benefits"
64,Jana Small Finance Bank,3.8,Banking , 10k-50k Employees , Public , 18 years old , Bangalore/Bengaluru +357 more,
65,Amazon Development Centre India,4.2,,,,,,"Company Culture, Work Life Balance, Salary & Benefits"
66,Lupin,4.2,Pharma , 1k-5k Employees , Public , 56 years old , Mumbai +171 more,"Skill Development / Learning, Company Culture, Work Life Balance"
67,Wells Fargo,4.0,Financial Services , 10k-50k Employees , Public , 172 years old , San Francisco +21 more,"Work Life Balance, Job Security, Company Culture"
68,Zydus Lifesciences,4.2,Pharma , 10k-50k Employees , Public , 72 years old , Ahmedabad +155 more,"Skill Development / Learning, Salary & Benefits, Job Security"
69,Delhivery,3.9,Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Delhi +636 more,Skill Development / Learning
70,L&T Infotech,3.8,IT Services & Consulting , 10k-50k Employees , Public , 28 years old , Mumbai +88 more,Job Security
71,JPMorgan Chase & Co.,4.1,Financial Services , 50k-1 Lakh Employees , Public , 56 years old , New York +33 more,"Job Security, Company Culture, Skill Development / Learning"
72,L&T Construction,4.0,Engineering & Construction , 5k-10k Employees , Public , 80 years old , Chennai +366 more,"Job Security, Skill Development / Learning, Salary & Benefits"
73,HCL Group,3.7,,,,,,Job Security
74,FIS,3.9,,,,,,"Work Life Balance, Company Culture, Job Security"
75,ITC,4.0,FMCG , 10k-50k Employees , Public , 114 years old , Kolkata +308 more,"Job Security, Skill Development / Learning"
76,Sun Pharmaceutical Industries,4.1,Pharma , 10k-50k Employees , Public , 41 years old , Mumbai +209 more,"Job Security, Salary & Benefits, Skill Development / Learning"
77,Hexaware Technologies,3.6,IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 34 years old , Navi Mumbai +47 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
78,Indian Army,4.7,Defence & Aerospace , 1 Lakh+ Employees , Public , 129 years old , New Delhi +329 more,"Job Security, Work Satisfaction, Skill Development / Learning"
79,Hindustan Unilever,4.3,FMCG , 10k-50k Employees , Public , 152 years old , London +441 more,"Skill Development / Learning, Job Security, Company Culture"
80,JSW Steel,4.0,Iron & Steel , 10k-50k Employees , Public , 42 years old , Mumbai +151 more,"Job Security, Skill Development / Learning"
81,Udaan,4.0,,,,,,"Salary & Benefits, Skill Development / Learning"
82,IIFL Finance,4.0,NBFC , 10k-50k Employees , Public , 29 years old , Mumbai +688 more,"Work Life Balance, Skill Development / Learning, Salary & Benefits"
83,KPMG India,3.6,,,,,,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
84,Ujjivan Small Finance Bank,4.1,Banking , 10k-50k Employees , Public , 7 years old , Bangalore/Bengaluru +450 more,"Company Culture, Job Security, Work Life Balance"
85,Max Life Insurance,4.1,,,,,,"Skill Development / Learning, Company Culture, Job Security"
86,Oracle,3.8,Emerging Technologies , 50k-1 Lakh Employees , Public , 47 years old , Austin +49 more,"Work Life Balance, Job Security, Company Culture"
87,Tata Projects,4.3,Engineering & Construction , 5k-10k Employees , Public , 45 years old , Mumbai +240 more,"Job Security, Company Culture, Salary & Benefits"
88,Muthoot Finance,3.6,NBFC , 10k-50k Employees , Public , 85 years old , Kochi/Cochin +654 more,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
89,eClerx,3.4,IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Mumbai +18 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
90,Megha Engineering & Infrastructures,4.0,Engineering & Construction , 5k-10k Employees , Conglomerate , 35 years old , Hyderabad/Secunderabad +303 more,"Job Security, Skill Development / Learning, Work Life Balance"
91,Omega Healthcare,3.8,,,,,,"Promotions / Appraisal, Salary & Benefits"
92,Aurobindo Pharma,4.0,Pharma , 10k-50k Employees , Public , 38 years old , Hyderabad/Secunderabad +94 more,"Job Security, Salary & Benefits, Work Life Balance"
93,Ekart Logistics,4.0,,,,,,"Skill Development / Learning, Salary & Benefits, Company Culture"
94,Shapoorji Pallonji Group,4.2,Engineering & Construction , 5k-10k Employees , Conglomerate , 159 years old , Mumbai +170 more,"Job Security, Skill Development / Learning, Company Culture"
95,Siemens,4.2,Industrial Automation , 5k-10k Employees , Public , 177 years old , Munich +133 more,"Job Security, Company Culture, Work Life Balance"
96,JLL,4.2,Real Estate , 10k-50k Employees , Forbes Global 2000 , 25 years old , Mumbai +70 more,"Skill Development / Learning, Job Security, Company Culture"
97,Ashok Leyland,4.1,Automobile , 5k-10k Employees , Public , 76 years old , Chennai +219 more,"Skill Development / Learning, Work Satisfaction, Work Life Balance"
98,Bajaj Allianz Life Insurance,4.1,,,,,,"Salary & Benefits, Work Life Balance, Job Security"
99,Home Credit Finance,4.1,,,,,,"Company Culture, Skill Development / Learning, Work Life Balance"
100,First Source,3.8,BPO , 10k-50k Employees , Public , 23 years old , Mumbai +55 more,"Promotions / Appraisal, Salary & Benefits"
101,JustDial,3.6,Internet , 10k-50k Employees , Public , 28 years old , Mumbai +183 more,"Promotions / Appraisal, Work Satisfaction, Job Security"
102,Apollo Hospitals,4.1,Healthcare , 10k-50k Employees , Public , 41 years old , Chennai +188 more,"Job Security, Skill Development / Learning, Company Culture"
103,Indiamart Intermesh,3.6,Internet , 5k-10k Employees , Public , 28 years old , Noida +142 more,"Promotions / Appraisal, Work Satisfaction, Company Culture"
104,Coforge,3.5,IT Services & Consulting , 10k-50k Employees , Public , 20 years old , Noida +86 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
105,Virtusa Consulting Services,3.8,,,,,,Promotions / Appraisal
106,Vivo,4.1,Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old , Gurgaon/Gurugram +379 more,"Skill Development / Learning, Company Culture, Work Life Balance"
107,Standard Chartered,3.9,Banking , 10k-50k Employees , Fortune India 500 , 171 years old , London +59 more,Job Security
108,Hero MotoCorp,4.2,Automobile , 5k-10k Employees , Public , 40 years old , Gurgaon/Gurugram +319 more,"Work Life Balance, Company Culture, Job Security"
109,DMart,4.0,Retail , 10k-50k Employees , Fortune India 500 , 22 years old , Mumbai +213 more,"Job Security, Company Culture"
110,BigBasket,4.0,Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +114 more,"Job Security, Skill Development / Learning"
111,ICICI Lombard General Insurance Company,3.8,Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +264 more,"Promotions / Appraisal, Work Satisfaction"
112,Cyient,3.8,IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Hyderabad/Secunderabad +35 more,Job Security
113,Mahindra Finance,4.3,NBFC , 10k-50k Employees , Public , 33 years old , Mumbai +641 more,"Company Culture, Job Security, Work Life Balance"
114,GlobalLogic,3.7,,,,,,Work Life Balance
115,CGI Group,4.1,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 48 years old , Montreal +32 more,"Job Security, Work Life Balance, Company Culture"
116,L&T Technology Services,3.4,IT Services & Consulting , 10k-50k Employees , Public , 12 years old , Vadodara/Baroda +53 more,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
117,OPPO,4.0,Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Dongguan +364 more,Skill Development / Learning
118,Equitas Small Finance Bank,4.3,Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Chennai +372 more,"Job Security, Company Culture, Work Life Balance"
119,Nagarro,4.1,,,,,,"Work Life Balance, Company Culture, Salary & Benefits"
120,UST,3.8,,,,,,Work Life Balance
121,Bosch Global Software Technologies,4.1,,,,,,"Job Security, Work Life Balance, Company Culture"
122,TVS Motor,4.0,Automobile , 5k-10k Employees , Public , 45 years old , Chennai +280 more,"Skill Development / Learning, Salary & Benefits, Job Security"
123,Manappuram Finance,4.0,NBFC , 10k-50k Employees , Public , 75 years old , Thrissur/Trichur +526 more,"Promotions / Appraisal, Skill Development / Learning"
124,Cholamandalam Investment & Finance,4.0,NBFC , 10k-50k Employees , Fortune India 500 , 46 years old , Chennai +660 more,"Salary & Benefits, Job Security, Skill Development / Learning"
125,Atos Syntel,3.6,,,,,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
126,SBI Cards & Payment Services,3.7,,,,,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
127,IQVIA,4.0,Clinical Research , 10k-50k Employees , Forbes Global 2000 , 42 years old , Durham +44 more,"Job Security, Company Culture, Work Life Balance"
128,SMFG India Credit,4.1,,,,,,"Salary & Benefits, Job Security, Company Culture"
129,BNY,4.0,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , Forbes Global 2000 , 240 years old , New York City +16 more,"Company Culture, Work Life Balance, Salary & Benefits"
130,Swiggy,3.8,Internet , 5k-10k Employees , Indian Unicorn , 10 years old , Bangalore +191 more,"Job Security, Promotions / Appraisal"
131,Schneider Electric,4.2,Industrial Automation , 10k-50k Employees , Forbes Global 2000 , 25 years old , Paris +118 more,"Company Culture, Work Life Balance, Job Security"
132,Optum,4.0,,,,,,"Job Security, Work Life Balance, Company Culture"
133,Amdocs,4.0,Software Product , 10k-50k Employees , Forbes Global 2000 , 42 years old , Chesterfield +14 more,"Company Culture, Job Security"
134,Hewlett Packard Enterprise,4.3,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 9 years old , Houston +91 more,"Company Culture, Work Life Balance, Job Security"
135,Bosch,4.3,Auto Components , 5k-10k Employees , Public , 138 years old , Gerlingen +104 more,"Company Culture, Work Life Balance, Job Security"
136,CBRE,4.2,Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old , Los Angeles +75 more,"Skill Development / Learning, Job Security, Company Culture"
137,Hyundai Motor India Limited,4.4,Automobile , 10k-50k Employees , Fortune India 500 , 57 years old , Seoul +270 more,"Job Security, Salary & Benefits, Work Satisfaction"
138,State Bank of India,3.8,Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old , Mumbai +505 more,Job Security
139,Dell,4.1,Consumer Electronics & Appliances , 10k-50k Employees , Forbes Global 2000 , 40 years old , Round Rock +100 more,"Work Life Balance, Company Culture, Skill Development / Learning"
140,Oyo Rooms,3.4,Hospitality , 1k-5k Employees , Indian Unicorn , 12 years old , Gurgaon +116 more,"Job Security, Promotions / Appraisal, Work Satisfaction"
141,JBM Group,4.0,Auto Components , 1k-5k Employees , Public , 41 years old , Gurgaon/Gurugram +88 more,"Job Security, Skill Development / Learning"
142,SBI Life Insurance Company,3.9,,,,,,Job Security
143,Ecom Express,4.0,,,,,,Skill Development / Learning
144,BT Group,4.0,Telecom , 10k-50k Employees , Forbes Global 2000 , 178 years old , London +18 more,"Work Life Balance, Job Security, Company Culture"
145,Bajaj Auto,3.9,Automobile , 5k-10k Employees , Public , 79 years old , Pune +265 more,Promotions / Appraisal
146,Reliance Communications,4.0,Telecom , 201-500 Employees , Public , 22 years old , Navi Mumbai +428 more,"Skill Development / Learning, Work Life Balance"
147,Persistent Systems,3.7,IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Pune +34 more,"Promotions / Appraisal, Work Satisfaction, Job Security"
148,KEC International,4.1,Engineering & Construction , 5k-10k Employees , Public , 79 years old , Mumbai +264 more,"Job Security, Company Culture, Skill Development / Learning"
149,Nagarjuna Construction Company,4.2,Engineering & Construction , 5k-10k Employees , Public , 26 years old , Hyderabad/Secunderabad +229 more,"Job Security, Salary & Benefits, Skill Development / Learning"
150,Marpu Foundation,4.9,,,,,,"Company Culture, Work Satisfaction, Skill Development / Learning"
151,Muthoot Fincorp,4.0,NBFC , 10k-50k Employees , Conglomerate , 137 years old , Trivandrum/Thiruvananthapuram +556 more,"Job Security, Work Life Balance, Skill Development / Learning"
152,Piramal Capital Housing Finance,4.2,,,,,,"Company Culture, Skill Development / Learning, Work Life Balance"
153,Aditya Birla Fashion and Retail,4.2,Fashion & Textile , 10k-50k Employees , Fortune India 500 , 36 years old , Mumbai +233 more,"Job Security, Skill Development / Learning, Company Culture"
154,CARS24,3.7,Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Gurgaon +152 more,"Job Security, Promotions / Appraisal"
155,Varun Beverages,4.1,Beverage , 5k-10k Employees , Public , 29 years old , Gurgaon/Gurugram +292 more,"Job Security, Salary & Benefits"
156,Royal Enfield,4.3,,,,,,"Skill Development / Learning, Company Culture, Work Satisfaction"
157,Tata Communications,4.1,Telecom , 5k-10k Employees , Public , 38 years old , Mumbai +89 more,"Job Security, Company Culture, Work Life Balance"
158,John Deere,4.2,Industrial Machinery , 5k-10k Employees , Fortune India 500 , 23 years old , Moline +122 more,"Company Culture, Skill Development / Learning, Work Life Balance"
159,L&T Finance,4.0,NBFC , 10k-50k Employees , Public , 30 years old , Mumbai +481 more,Salary & Benefits
160,ITC Infotech,3.8,,,,,,"Work Life Balance, Job Security"
161,LG Electronics,4.0,Consumer Electronics & Appliances , 1k-5k Employees , Public , 66 years old , Seoul +255 more,"Job Security, Skill Development / Learning, Salary & Benefits"
162,Randstad,3.9,Recruitment , 5k-10k Employees , Conglomerate , 32 years old , Chennai +269 more,"Promotions / Appraisal, Job Security"
163,Intas Pharmaceuticals,4.2,Pharma , 10k-50k Employees , Fortune India 500 , 47 years old , Ahmedabad +118 more,"Job Security, Salary & Benefits, Work Life Balance"
164,Deutsche Bank,4.0,Banking , 10k-50k Employees , Fortune India 500 , 154 years old , Frankfurt +38 more,"Job Security, Work Life Balance, Company Culture"
165,Kogta Financial India Limited,4.8,NBFC , 1k-5k Employees , Public , 28 years old , Jaipur +207 more,"Company Culture, Work Life Balance, Work Satisfaction"
166,Future Group,4.3,Retail , 10k-50k Employees , Conglomerate , 11 years old , Mumbai +202 more,"Skill Development / Learning, Company Culture, Work Life Balance"
167,Samvardhana Motherson Group,3.8,Auto Components , 1k-5k Employees , Public , 38 years old , Noida +81 more,Job Security
168,Thermax Limited,4.2,Industrial Machinery , 1k-5k Employees , Public , 58 years old , Pune +187 more,"Job Security, Company Culture, Skill Development / Learning"
169,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances , 10k-50k Employees , Fortune India 500 , 127 years old , Mumbai +133 more,Job Security
170,Macleods Pharmaceuticals,3.7,Pharma , 10k-50k Employees , Public , 38 years old , Mumbai +98 more,Job Security
171,Team Lease,4.0,Recruitment , 1k-5k Employees , Public , 8 years old , Bangalore/Bengaluru +311 more,Promotions / Appraisal
172,Havells,4.1,Electrical Equipment , 5k-10k Employees , Public , 41 years old , Noida +188 more,"Work Life Balance, Salary & Benefits, Company Culture"
173,EY Global Delivery Services ( EY GDS),3.6,,,,,,Job Security
174,R1 RCM,3.9,,,,,,"Job Security, Company Culture, Work Life Balance"
175,Tata Capital,4.1,NBFC , 5k-10k Employees , Fortune India 500 , 17 years old , Mumbai +243 more,"Job Security, Company Culture, Skill Development / Learning"
176,Access Healthcare,3.9,,,,,,"Job Security, Company Culture"
177,Hetero Drugs,3.9,,,,,,Job Security
178,Viatris,4.2,Pharma , 10k-50k Employees , Forbes Global 2000 , 4 years old , Canonsburg +69 more,"Salary & Benefits, Job Security, Work Life Balance"
179,Whitehat jr,3.5,EdTech , 5k-10k Employees , Startup , 6 years old , Mumbai +50 more,"Job Security, Promotions / Appraisal, Company Culture"
180,Cummins,4.3,Industrial Machinery , 1k-5k Employees , Fortune India 500 , 105 years old , Columbus +85 more,"Company Culture, Work Life Balance, Skill Development / Learning"
181,Publicis Sapient,3.6,,,,,,"Promotions / Appraisal, Job Security, Work Satisfaction"
182,American Express,4.2,Financial Services , 10k-50k Employees , Forbes Global 2000 , 174 years old , New York City +39 more,"Company Culture, Work Life Balance, Job Security"
183,VE Commercial Vehicles,4.1,,,,,,"Job Security, Skill Development / Learning, Company Culture"
184,Tata AIA Life Insurance,4.0,,,,,,"Job Security, Salary & Benefits, Skill Development / Learning"
185,Abbott,4.2,Pharma , 10k-50k Employees , Public , 136 years old , Illinois City +173 more,"Salary & Benefits, Company Culture, Skill Development / Learning"
186,Aakash Educational Services,3.5,,,,,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
187,Subros,4.0,Auto Components , 1k-5k Employees , Public , 39 years old , Noida +61 more,"Job Security, Skill Development / Learning, Company Culture"
188,Indian Oil Corporation,4.4,Oil & Gas , 10k-50k Employees , Fortune India 500 , 65 years old , Delhi/NCR +263 more,"Company Culture, Work Life Balance, Job Security"
189,Automatic Data Processing (ADP),4.1,Software Product , 1k-5k Employees , Forbes Global 2000 , 75 years old , New Jersey +30 more,"Job Security, Company Culture, Work Life Balance"
190,Bharat Electronics,4.2,Electronics Manufacturing , 5k-10k Employees , Fortune India 500 , 70 years old , Bangalore/Bengaluru +54 more,"Work Life Balance, Company Culture, Skill Development / Learning"
191,Sodexo,4.1,Facility Management Services , 10k-50k Employees , Forbes Global 2000 , 16 years old , Issy les Moulineaux +133 more,"Company Culture, Work Life Balance, Skill Development / Learning"
192,Pidilite Industries,4.3,Chemicals , 5k-10k Employees , Public , 65 years old , Mumbai +249 more,"Job Security, Company Culture, Work Life Balance"
193,Alembic Pharmaceuticals,4.0,Pharma , 10k-50k Employees , Public , 117 years old , Vadodara/Baroda +156 more,"Salary & Benefits, Work Life Balance"
194,Atos,3.8,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 27 years old , Vilnius +43 more,Work Life Balance
195,Utkarsh Small Finance Bank,3.9,Banking , 10k-50k Employees , Public , 15 years old , Varanasi +313 more,
196,Barclays,4.0,Banking , 10k-50k Employees , Forbes Global 2000 , 334 years old , London +32 more,"Job Security, Company Culture, Salary & Benefits"
197,Berger Paints,3.8,Chemicals , 1k-5k Employees , Public , 101 years old , Kolkata +265 more,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
198,DCB Bank,3.8,Banking , 5k-10k Employees , Fortune India 500 , 94 years old , Mumbai +309 more,
199,Carelon Global Solutions,4.0,,,,,,"Job Security, Salary & Benefits, Company Culture"
